Episode 1	Average Score: 1.05
Episode 2	Average Score: 0.89
Episode 3	Average Score: 0.75
Episode 4	Average Score: 0.59
Episode 5	Average Score: 0.61
Episode 6	Average Score: 0.51
Episode 7	Average Score: 0.64
Episode 8	Average Score: 0.75
Episode 9	Average Score: 0.78
Episode 10	Average Score: 0.90
Episode 11	Average Score: 0.85
Episode 12	Average Score: 0.96
Episode 13	Average Score: 0.90
Episode 14	Average Score: 0.92
Episode 15	Average Score: 0.98
Episode 16	Average Score: 0.93
Episode 17	Average Score: 0.95
Episode 18	Average Score: 0.97
Episode 19	Average Score: 1.09
Episode 20	Average Score: 1.25
Episode 21	Average Score: 1.25
Episode 22	Average Score: 1.32
Episode 23	Average Score: 1.38
Episode 24	Average Score: 1.48
Episode 25	Average Score: 1.46
Episode 26	Average Score: 1.52
Episode 27	Average Score: 1.55
Episode 28	Average Score: 1.55
Episode 29	Average Score: 1.60
Episode 30	Average Score: 1.60
Episode 31	Average Score: 1.63
Episode 32	Average Score: 1.69
Episode 33	Average Score: 1.74
Episode 34	Average Score: 1.80
Episode 35	Average Score: 1.85
Episode 36	Average Score: 1.87
Episode 37	Average Score: 1.88
Episode 38	Average Score: 1.93
Episode 39	Average Score: 1.97
Episode 40	Average Score: 2.02
Episode 41	Average Score: 2.06
Episode 42	Average Score: 2.10
Episode 43	Average Score: 2.16
Episode 44	Average Score: 2.16
Episode 45	Average Score: 2.20
Episode 46	Average Score: 2.21
Episode 47	Average Score: 2.22
Episode 48	Average Score: 2.27
Episode 49	Average Score: 2.33
Episode 50	Average Score: 2.40
Episode 51	Average Score: 2.42
Episode 52	Average Score: 2.44
Episode 53	Average Score: 2.43
Episode 54	Average Score: 2.47
Episode 55	Average Score: 2.50
Episode 56	Average Score: 2.53
Episode 57	Average Score: 2.53
Episode 58	Average Score: 2.54
Episode 59	Average Score: 2.57
Episode 60	Average Score: 2.63
Episode 61	Average Score: 2.66
Episode 62	Average Score: 2.69
Episode 63	Average Score: 2.74
Episode 64	Average Score: 2.83
Episode 65	Average Score: 2.90
Episode 66	Average Score: 2.93
Episode 67	Average Score: 2.94
Episode 68	Average Score: 3.00
Episode 69	Average Score: 3.02
Episode 70	Average Score: 3.04
Episode 71	Average Score: 3.09
Episode 72	Average Score: 3.13
Episode 73	Average Score: 3.20
Episode 74	Average Score: 3.24
Episode 75	Average Score: 3.26
Episode 76	Average Score: 3.31
Episode 77	Average Score: 3.34
Episode 78	Average Score: 3.39
Episode 79	Average Score: 3.44
Episode 80	Average Score: 3.51
Episode 81	Average Score: 3.56
Episode 82	Average Score: 3.59
Episode 83	Average Score: 3.62
Episode 84	Average Score: 3.64
Episode 85	Average Score: 3.68
Episode 86	Average Score: 3.72
Episode 87	Average Score: 3.77
Episode 88	Average Score: 3.79
Episode 89	Average Score: 3.87
Episode 90	Average Score: 3.89
Episode 91	Average Score: 3.91
Episode 92	Average Score: 3.92
Episode 93	Average Score: 3.96
Episode 94	Average Score: 3.98
Episode 95	Average Score: 4.00
Episode 96	Average Score: 4.01
Episode 97	Average Score: 4.03
Episode 98	Average Score: 4.10
Episode 99	Average Score: 4.15
Episode 100	Average Score: 4.17
Episode 101	Average Score: 4.23
Episode 102	Average Score: 4.29
Episode 103	Average Score: 4.37
Episode 104	Average Score: 4.42
Episode 105	Average Score: 4.48
Episode 106	Average Score: 4.55
Episode 107	Average Score: 4.59
Episode 108	Average Score: 4.62
Episode 109	Average Score: 4.68
Episode 110	Average Score: 4.71
Episode 111	Average Score: 4.74
Episode 112	Average Score: 4.75
Episode 113	Average Score: 4.80
Episode 114	Average Score: 4.86
Episode 115	Average Score: 4.93
Episode 116	Average Score: 4.99
Episode 117	Average Score: 5.06
Episode 118	Average Score: 5.09
Episode 119	Average Score: 5.11
Episode 120	Average Score: 5.12
Episode 121	Average Score: 5.18
Episode 122	Average Score: 5.21
Episode 123	Average Score: 5.25
Episode 124	Average Score: 5.26
Episode 125	Average Score: 5.34
Episode 126	Average Score: 5.37
Episode 127	Average Score: 5.44
Episode 128	Average Score: 5.50
Episode 129	Average Score: 5.55
Episode 130	Average Score: 5.58
Episode 131	Average Score: 5.64
Episode 132	Average Score: 5.65
Episode 133	Average Score: 5.70
Episode 134	Average Score: 5.72
Episode 135	Average Score: 5.77
Episode 136	Average Score: 5.81
Episode 137	Average Score: 5.87
Episode 138	Average Score: 5.92
Episode 139	Average Score: 5.95
Episode 140	Average Score: 5.96
Episode 141	Average Score: 6.02
Episode 142	Average Score: 6.05
Episode 143	Average Score: 6.15
Episode 144	Average Score: 6.22
Episode 145	Average Score: 6.25
Episode 146	Average Score: 6.34
Episode 147	Average Score: 6.39
Episode 148	Average Score: 6.45
Episode 149	Average Score: 6.50
Episode 150	Average Score: 6.50
Episode 151	Average Score: 6.54
Episode 152	Average Score: 6.59
Episode 153	Average Score: 6.61
Episode 154	Average Score: 6.66
Episode 155	Average Score: 6.68
Episode 156	Average Score: 6.72
Episode 157	Average Score: 6.79
Episode 158	Average Score: 6.86
Episode 159	Average Score: 6.86
Episode 160	Average Score: 6.88
Episode 161	Average Score: 6.89
Episode 162	Average Score: 6.95
Episode 163	Average Score: 6.96
Episode 164	Average Score: 6.97
Episode 165	Average Score: 6.97
Episode 166	Average Score: 7.06
Episode 167	Average Score: 7.15
Episode 168	Average Score: 7.14
Episode 169	Average Score: 7.19
Episode 170	Average Score: 7.26
Episode 171	Average Score: 7.30
Episode 172	Average Score: 7.33
Episode 173	Average Score: 7.33
Episode 174	Average Score: 7.34
Episode 175	Average Score: 7.40
Episode 176	Average Score: 7.45
Episode 177	Average Score: 7.48
Episode 178	Average Score: 7.51
Episode 179	Average Score: 7.53
Episode 180	Average Score: 7.49
Episode 181	Average Score: 7.49
Episode 182	Average Score: 7.51
Episode 183	Average Score: 7.54
Episode 184	Average Score: 7.59
