Episode 1	Average Score: 0.56
Episode 2	Average Score: 0.40
Episode 3	Average Score: 0.51
Episode 4	Average Score: 0.60
Episode 5	Average Score: 0.60
Episode 6	Average Score: 0.62
Episode 7	Average Score: 0.70
Episode 8	Average Score: 0.75
Episode 9	Average Score: 0.80
Episode 10	Average Score: 0.85
Episode 11	Average Score: 0.95
Episode 12	Average Score: 1.03
Episode 13	Average Score: 1.11
Episode 14	Average Score: 1.14
Episode 15	Average Score: 1.15
Episode 16	Average Score: 1.18
Episode 17	Average Score: 1.18
Episode 18	Average Score: 1.18
Episode 19	Average Score: 1.20
Episode 20	Average Score: 1.21
Episode 21	Average Score: 1.23
Episode 22	Average Score: 1.25
Episode 23	Average Score: 1.26
Episode 24	Average Score: 1.28
Episode 25	Average Score: 1.32
Episode 26	Average Score: 1.36
Episode 27	Average Score: 1.38
Episode 28	Average Score: 1.40
Episode 29	Average Score: 1.44
Episode 30	Average Score: 1.45
Episode 31	Average Score: 1.48
Episode 32	Average Score: 1.51
Episode 33	Average Score: 1.55
Episode 34	Average Score: 1.59
Episode 35	Average Score: 1.63
Episode 36	Average Score: 1.66
Episode 37	Average Score: 1.63
Episode 38	Average Score: 1.69
Episode 39	Average Score: 1.74
Episode 40	Average Score: 1.80
Episode 41	Average Score: 1.84
Episode 42	Average Score: 1.89
Episode 43	Average Score: 1.96
Episode 44	Average Score: 2.03
Episode 45	Average Score: 2.08
Episode 46	Average Score: 2.15
Episode 47	Average Score: 2.21
Episode 48	Average Score: 2.28
Episode 49	Average Score: 2.39
Episode 50	Average Score: 2.50
Episode 51	Average Score: 2.60
Episode 52	Average Score: 2.72
Episode 53	Average Score: 2.85
Episode 54	Average Score: 2.99
Episode 55	Average Score: 3.14
Episode 56	Average Score: 3.28
Episode 57	Average Score: 3.47
Episode 58	Average Score: 3.64
Episode 59	Average Score: 3.88
Episode 60	Average Score: 4.08
Episode 61	Average Score: 4.25
Episode 62	Average Score: 4.46
Episode 63	Average Score: 4.68
Episode 64	Average Score: 4.86
Episode 65	Average Score: 5.06
Episode 66	Average Score: 5.25
Episode 67	Average Score: 5.46
Episode 68	Average Score: 5.65
Episode 69	Average Score: 5.85
Episode 70	Average Score: 6.07
Episode 71	Average Score: 6.27
Episode 72	Average Score: 6.49
Episode 73	Average Score: 6.71
Episode 74	Average Score: 6.90
Episode 75	Average Score: 7.11
Episode 76	Average Score: 7.33
Episode 77	Average Score: 7.55
Episode 78	Average Score: 7.77
Episode 79	Average Score: 7.99
Episode 80	Average Score: 8.20
Episode 81	Average Score: 8.42
Episode 82	Average Score: 8.65
Episode 83	Average Score: 8.86
Episode 84	Average Score: 9.08
Episode 85	Average Score: 9.32
Episode 86	Average Score: 9.56
Episode 87	Average Score: 9.78
Episode 88	Average Score: 9.99
Episode 89	Average Score: 10.20
Episode 90	Average Score: 10.40
Episode 91	Average Score: 10.60
Episode 92	Average Score: 10.80
Episode 93	Average Score: 11.00
Episode 94	Average Score: 11.22
Episode 95	Average Score: 11.44
Episode 96	Average Score: 11.63
Episode 97	Average Score: 11.82
Episode 98	Average Score: 12.04
Episode 99	Average Score: 12.22
Episode 100	Average Score: 12.42
Episode 101	Average Score: 12.73
Episode 102	Average Score: 13.06
Episode 103	Average Score: 13.37
Episode 104	Average Score: 13.68
Episode 105	Average Score: 14.01
Episode 106	Average Score: 14.34
Episode 107	Average Score: 14.67
Episode 108	Average Score: 14.99
Episode 109	Average Score: 15.29
Episode 110	Average Score: 15.62
Episode 111	Average Score: 15.95
Episode 112	Average Score: 16.28
Episode 113	Average Score: 16.63
Episode 114	Average Score: 16.96
Episode 115	Average Score: 17.31
Episode 116	Average Score: 17.67
Episode 117	Average Score: 18.03
Episode 118	Average Score: 18.40
Episode 119	Average Score: 18.76
Episode 120	Average Score: 19.12
Episode 121	Average Score: 19.49
Episode 122	Average Score: 19.85
Episode 123	Average Score: 20.22
Episode 124	Average Score: 20.58
Episode 125	Average Score: 20.94
Episode 126	Average Score: 21.30
Episode 127	Average Score: 21.67
Episode 128	Average Score: 22.03
Episode 129	Average Score: 22.40
Episode 130	Average Score: 22.76
Episode 131	Average Score: 23.12
Episode 132	Average Score: 23.48
Episode 133	Average Score: 23.83
Episode 134	Average Score: 24.19
Episode 135	Average Score: 24.53
Episode 136	Average Score: 24.90
Episode 137	Average Score: 25.27
Episode 138	Average Score: 25.60
Episode 139	Average Score: 25.94
Episode 140	Average Score: 26.27
Episode 141	Average Score: 26.60
Episode 142	Average Score: 26.94
Episode 143	Average Score: 27.28
Episode 144	Average Score: 27.61
Episode 145	Average Score: 27.96
Episode 146	Average Score: 28.29
Episode 147	Average Score: 28.63
Episode 148	Average Score: 28.95
Episode 149	Average Score: 29.26
Episode 150	Average Score: 29.57
Episode 151	Average Score: 29.86
Episode 152	Average Score: 30.14

Environment solved in 52 episodes!	Average Score: 30.14
